HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins
1610612761,1610612763,2019,68,49,19,0.720588235,70,42,32,0.6,24,25,19,14
1610612760,1610612764,2019,68,42,26,0.618,69,24,45,0.348,8,21,16,8
1610612740,1610612759,2019,69,30,39,0.435,68,30,38,0.411,15,15,18,12
1610612738,1610612753,2019,69,16,23,0.667,70,32,38,0.457,25,21,17,15
1610612757,1610612755,2019,71,32,39,0.451,69,42,27,0.609,20,12,31,11
1610612758,1610612745,2019,69,29,40,0.42,68,43,25,0.632,15,14,24,19
1610612746,1610612751,2019,69,47,22,0.681,69,33,36,0.478,26,20,25,13
