GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10,cgp,wins,losses,winpercent,cgp_away,wins_away,losses_away,winpercen_away,hometeam-homewins,hometeam-awaywins,awayteam-homewins,awayteam-awaywins,avgpointtotal_home,avgpointtotal_away,meanpointtotal
2020-02-27,1610612744,1610612747,2019,86.0,116.0,202.0,107.7,119.3,118.7,111.05,58,12,46,0.207,56,44,12,0.7859999999999999,7,5,21,23,220.2,224.28,222.24
2020-02-26,1610612766,1610612752,2019,107.0,101.0,208.0,97.95,108.4,104.6,111.35,57,19,38,0.333,57,17,40,0.298,8,11,8,9,206.04,211.72,208.88
2020-02-26,1610612739,1610612755,2019,108.0,94.0,202.0,110.15,117.9,107.1,107.55,57,16,41,0.281,58,36,22,0.621,8,8,27,9,219.68,215.72,217.7
2020-02-26,1610612764,1610612751,2019,110.0,106.0,216.0,115.75,121.75,111.1,110.05,56,20,36,0.35700000000000004,56,26,30,0.464,13,7,16,10,219.6,211.76,215.68
2020-02-26,1610612737,1610612753,2019,120.0,130.0,250.0,116.4,122.3,106.25,109.15,59,17,42,0.28800000000000003,57,25,32,0.439,11,6,15,10,220.32,208.8,214.56
2020-02-26,1610612748,1610612750,2019,126.0,129.0,255.0,112.45,109.3,114.9,121.15,57,36,21,0.632,56,16,40,0.28600000000000003,23,13,7,9,215.56,224.64,220.1
2020-02-26,1610612745,1610612763,2019,140.0,112.0,252.0,116.0,114.95,113.45,112.1,57,37,20,0.649,57,28,29,0.491,20,17,16,12,226.76,215.4,221.07999999999998
2020-02-26,1610612759,1610612742,2019,103.0,109.0,212.0,113.05,113.0,117.1,113.85,56,24,32,0.429,58,35,23,0.603,14,10,16,19,217.48,223.64,220.56
2020-02-26,1610612756,1610612746,2019,92.0,102.0,194.0,108.8,110.85,116.9,111.85,58,24,34,0.414,57,38,19,0.667,11,13,23,15,219.52,225.56,222.54000000000002
2020-02-26,1610612762,1610612738,2019,103.0,114.0,217.0,116.05,113.55,117.15,110.5,57,36,21,0.632,57,40,17,0.7020000000000001,20,16,23,17,212.64,221.48,217.06
2020-02-25,1610612754,1610612766,2019,119.0,80.0,199.0,108.6,110.7,98.55,107.9,57,33,24,0.579,56,19,37,0.339,19,14,8,11,208.16,206.04,207.1
2020-02-25,1610612761,1610612749,2019,97.0,108.0,205.0,118.5,107.85,121.85,109.15,57,42,15,0.737,57,49,8,0.86,23,19,26,23,220.76,222.16,221.45999999999998
2020-02-25,1610612741,1610612760,2019,122.0,124.0,246.0,107.65,113.1,115.15,107.8,58,20,38,0.345,57,35,22,0.614,12,8,19,16,207.2,221.92,214.56
2020-02-25,1610612743,1610612765,2019,115.0,98.0,213.0,113.3,110.1,107.0,109.7,57,39,18,0.684,59,19,40,0.322,22,17,11,8,219.88,221.0,220.44
2020-02-25,1610612747,1610612740,2019,118.0,109.0,227.0,118.1,110.55,121.85,117.15,55,43,12,0.782,57,25,32,0.439,20,23,11,14,224.16,226.76,225.45999999999998
